,task1,task2,epoch,step,images_needed,target test acc,reached test acc,Label index0,Label index1,Label index2,Label index3,Label index4,Label index5,Label index6,Label index7,Label index8,Label index9
0,"[0, 1, 4]","[2, 3, 7, 9]",19,26,0,97.04166666666669,88.48940914158305,185,190,172,193,173,179,168,152,188,0
1,"[0, 1, 2, 7]","[3, 4, 6, 8]",19,30,0,97.81833333333331,84.80059266576122,,,,,,,,,,
2,"[0, 6, 7]","[1, 2, 4, 5, 9]",19,30,0,97.815,86.33982035928143,,,,,,,,,,
3,"[2, 3, 6, 7]","[4, 5, 9]",19,25,0,97.80833333333334,76.4433511792794,,,,,,,,,,
4,"[0, 3, 8]","[1, 2, 9]",19,22,0,97.92666666666666,83.0456026058632,,,,,,,,,,
5,"[1, 4, 6]","[2, 3, 7, 8]",19,26,0,97.68333333333334,82.73633937350752,,,,,,,,,,
6,"[0, 3, 9]","[1, 2, 5, 8]",19,26,0,97.67,80.98691695108077,,,,,,,,,,
7,"[0, 2, 6]","[1, 3, 5, 9]",19,26,0,98.04833333333332,85.40478905359178,,,,,,,,,,
8,"[1, 2, 7, 9]","[3, 4, 6, 8]",19,30,0,97.855,82.7755905511811,,,,,,,,,,
9,"[1, 2, 6]","[3, 4, 7, 8]",19,26,0,97.68333333333334,83.55106054221099,,,,,,,,,,
10,"[1, 4, 5, 6, 7, 9]","[2, 3, 8]",19,33,0,97.58666666666667,80.87583148558758,,,,,,,,,,
11,"[0, 1]","[2, 3, 9]",19,19,0,98.14333333333336,89.4696089818041,,,,,,,,,,
12,"[1, 9]","[2, 3, 6, 7, 8]",19,26,0,97.76833333333332,81.26224461237057,,,,,,,,,,
13,"[1, 2, 8, 9]","[3, 4, 7]",19,26,0,98.06166666666668,81.85495118549511,,,,,,,,,,
14,"[0, 1, 7]","[2, 3, 9]",19,23,0,97.78833333333333,87.2457216661285,,,,,,,,,,
15,"[0, 1, 2, 5]","[3, 4, 7, 8, 9]",19,33,0,98.10333333333332,81.90665781906658,,,,,,,,,,
16,"[0, 4, 5, 6, 7, 8]","[1, 2, 9]",19,33,0,97.69666666666666,82.1579532814238,,,,,,,,,,
17,"[0, 1, 3, 6, 8]","[2, 4, 7]",19,30,0,97.81833333333331,84.88702308927027,,,,,,,,,,
