layer,shape,gamma,sigma2_fit,lam_minus,lam_plus,n_outliers,n_bulk,tw_stat,tw_is_spike,lam_max,condition_number,effective_rank,epoch,accuracy
ep11/conv1,8×25,0.32,0.10108593753608128,0.019067754484646753,0.2477991206106078,0,7,-0.058953949356318446,False,0.2335349154242149,3.7146635435653566,6.875929812079075,11,98.09166666666668
ep11/conv2,6×200,0.03,403.4261914314,275.7780450417035,555.2799093069806,0,0,-0.8920931286231594,False,0.03843474698854486,1.5556146163152884,5.870541804114406,11,98.09166666666668
ep11/conv3,4×24,0.16666666666666666,0.07972570955942153,0.027917558552020518,0.15810909708662974,0,4,-0.18641985913438824,False,0.12436901612493821,1.4557757470301413,3.931568943107883,11,98.09166666666668
ep11/fc1,20×36,0.5555555555555556,0.11743068848020245,0.007614625133869937,0.35772529458231545,0,19,-0.7072002091548968,False,0.15362465228071234,4.729582724722513,17.522273768719995,11,98.09166666666668
ep11/fc2,10×20,0.5,0.24258522656743847,0.020810522408136158,0.7069451572941792,0,10,-0.6468235710781074,False,0.2890216595405423,2.7467272786277714,9.05841567429724,11,98.09166666666668
ep26/conv1,8×25,0.32,0.11485578564852805,0.021665149231124663,0.28155412488098935,0,7,-0.05821418105274336,False,0.26555023335281824,3.686196873203884,6.843106346664198,26,98.695
ep26/conv2,6×200,0.03,403.4261914314,275.7780450417035,555.2799093069806,0,0,-0.8920687447677057,False,0.053611332731875835,1.5842018240413422,5.875425439715944,26,98.695
ep26/conv3,4×24,0.16666666666666666,0.08562601674948539,0.029983669626651267,0.16981036945548134,0,4,-0.13861638010875632,False,0.14286551472369113,1.5460548989737752,3.9086991322870044,26,98.695
ep26/fc1,20×36,0.5555555555555556,0.12720779977270466,0.008248607939796194,0.3875089913530627,0,20,-0.6377939804869138,False,0.18811386412338713,4.772209516533258,17.46678781762769,26,98.695
ep26/fc2,10×20,0.5,0.24258497393434525,0.020810500735643066,0.7069444210673926,0,10,-0.6043557469859293,False,0.316460499445922,2.760131243008785,8.9990095234186,26,98.695
ep36/conv1,8×25,0.32,0.10108593753608128,0.019067754484646753,0.2477991206106078,1,7,0.13411471892108243,False,0.28024885281842465,3.681186816419655,6.825432921616041,36,98.64333333333336
ep36/conv2,6×200,0.03,403.4261914314,275.7780450417035,555.2799093069806,0,0,-0.8920537151400083,False,0.06296581868970087,1.5612672768686384,5.886873927438384,36,98.64333333333336
ep36/conv3,4×24,0.16666666666666666,0.08562601674948539,0.029983669626651267,0.16981036945548134,0,4,-0.09884031970169906,False,0.15059735830978235,1.5451580249862247,3.9081771617149466,36,98.64333333333336
ep36/fc1,20×36,0.5555555555555556,0.08561440524444844,0.005551543727052321,0.26080438370012055,0,20,-0.2318661225844206,False,0.21201733718758684,4.746816654008196,17.43741249533006,36,98.64333333333336
ep36/fc2,10×20,0.5,0.24258497393434525,0.020810500735643066,0.7069444210673926,0,10,-0.5531431264774157,False,0.34954979328057156,2.799983645649095,8.97516503814347,36,98.64333333333336
