param,osc_ratio,osc_power,traj_std,mag_z,traj_z,sw_score,abs_corr_accuracy
weight 0,0.8402754081069537,0.13443985085474605,0.08326938351296367,-0.6718413087602924,2.51533459466904,1.6899056860524873,0.008531584726600518
weight 1,0.0019367197801688617,0.03701788986759362,0.042550976831334394,3.419694447610393,0.6368740743724602,2.177914735958511,0.01348290661917801
weight 2,0.0012745089094684245,0.008085183766527608,0.018879575496055404,1.3961578120724214,-0.45515767471065743,0.6354719432720024,0.013248452337938827
weight 3,0.19751772449826954,0.023281127884530517,0.03393768876773823,-1.130738585003035,0.23951762317549086,0.27083181831274467,0.016383133285119728
weight 4,0.024215357878551683,0.0230883767803953,0.03421647312456648,-0.5656014887536837,0.25237877002911796,0.14274580805829268,0.003908752738182198
weight 5,0.0017011116539186277,0.029589395736824918,0.039442884202420515,3.145805952123906,0.4934885695689625,1.5524192794551546,0.007412894414900643
weight 6,0.026778451058823028,0.0018837995429483478,0.009612376636737157,-0.8755141479791623,-0.8826809647813552,0.7727996728179731,0.012625855296292446
weight 7,0.006850459782719033,0.018264500576434292,0.031242169597557518,0.11563219127783421,0.11516535216260018,0.013316822029844922,0.02963664268297362
weight 8,0.0032864572536508724,0.002876547636270499,0.012640451184875676,-0.40069347683038886,-0.7429869306884299,0.2977100164970861,0.0012126074422534646
weight 9,0.4473793142480895,0.028428515797370463,0.038175334696547554,-1.213972526339062,0.43501276222903434,0.5280935419529145,0.05455920881051355
weight 10,0.0010721222461948462,0.0020688287884190995,0.010074422851681414,0.2322419060654397,-0.8613654064366609,0.2000451438096823,0.03809866542907918
weight 11,0.0007187820957731834,0.0032245311736130928,0.012780555774240813,0.9564147945648365,-0.7365234916375716,0.7044219639467241,0.021832045042601313
weight 12,0.0002417395235487525,0.002753217272322298,0.012254123567654561,2.163360514833008,-0.7608093661909842,1.645904942132702,0.03256297494722581
weight 13,8.668170843006589e-05,0.00028835258673510166,0.003947406913001747,0.5366777243698545,-1.1440227716431994,0.613971537712766,0.012190272882808975
weight 14,0.004764536441507955,0.0035772232180358967,0.014004573643471402,-0.26571118847331543,-0.6800559274358379,0.18069846870729925,0.04712605085387932
weight 15,0.0013069031175827637,0.011902969657309468,0.02457604045308656,1.5099929081797343,-0.19236289959329728,0.2904666141827692,0.029312520456347153
weight 16,0.00042933555794663554,0.0012583990314416983,0.008246271308475153,0.4781604931113937,-0.9457034436757648,0.4521980249651468,0.007504040648091306
weight 17,0.016320735742388133,0.0035949359733439008,0.01382619873356908,-0.6541395179247536,-0.6882848895532122,0.4502343458472305,0.03408543133400044
weight 18,0.0008618390630460995,0.001568111049526206,0.008668531764838975,0.03502649058264891,-0.926223320036258,0.032442352396679794,0.014567641896490933
weight 19,0.01652350722646093,0.0006481033589369909,0.00584271735970072,-1.0189581766379145,-1.056586495571131,1.0766174489874036,0.044106527549724585
weight 20,0.6508751033481848,0.001639120700636463,0.008935041691204059,-1.1842352592951215,-0.9139284289601339,1.0823062700467874,0.01583166471744256
weight 21,0.5805812056757349,0.004928673268844113,0.015969999297210206,-1.1481147417924398,-0.5893850295052435,0.6766816409667422,0.03687800597207506
weight 22,0.02466365189868837,0.0014351888951315396,0.00891392980610576,-1.0133058803321535,-0.914902382655726,0.9270759642749452,0.08210352294084836
weight 23,0.3073877369293109,0.0035721356280733144,0.013392063929436296,-1.1914947459748564,-0.708312811972339,0.8439509939717182,0.03431616042695762
weight 24,0.010511327191993085,0.001375161596760907,0.008692929115913132,-0.8076399018100517,-0.9250977980788064,0.7471458948050623,0.008793454177538816
weight 25,0.0006361516913909796,0.0018532847489247967,0.010139052017301975,0.5491565116178019,-0.8583838718931517,0.4713870927178253,0.003312714763756075
weight 26,0.014325333312463627,0.0066727354276528775,0.0183153450943256,-0.7121543015474348,-0.48118729178992053,0.34267959969815254,0.010145197259235185
weight 27,0.0002605138544257315,0.0002703726022133999,0.0030216289782591696,-0.2585876681043626,-1.1867316456561952,0.30687416891588826,0.024383085941468888
weight 28,0.03269475181581138,0.01818058975665902,0.03048733440220804,-0.6927525202498636,0.08034257226158624,0.05565751941757065,0.032042896574593825
weight 29,0.032240753376109356,0.02672299027929556,0.03772459385500802,-0.022947870273710938,0.4142187541938607,0.009505438236178875,0.030233909216346673
weight 30,0.0007359348400545093,0.0014521163182241973,0.008981545652031289,0.22556394747566164,-0.9117830637169799,0.2056653870934547,0.010037142491936542
weight 31,0.0018548128774696978,0.0016792494968882947,0.008435433760275257,-0.3270077421521501,-0.9369768203477131,0.30639867447080643,0.023792064678041774
weight 32,0.012590209683949508,0.010180142326016398,0.022908243445692693,-0.19873298715061413,-0.26930330786500933,0.05351945082155478,0.03729399951486245
weight 33,0.0030479258650718093,0.0002663081857522042,0.0037836440523674195,-0.9503312379810387,-1.1515776367143615,1.094380201130038,0.0036467065544851557
weight 34,0.013682293476423555,0.017868259221152608,0.029814674097940988,0.13933557227787563,0.049310763109131926,0.006870743397269655,0.01996960419270564
weight 35,0.004228914738318756,0.007133147486871002,0.01908857849568398,0.11066180793096926,-0.44551574823510687,0.049301578161415456,0.015765306555991496
weight 36,0.002221285413692284,0.008719962417960804,0.020809382434562224,0.5795129213851918,-0.366129973452028,0.2121770505218675,0.0022360243852601216
weight 37,0.0034240366966999743,0.0068799448199526,0.018482684753856334,0.3019074716899308,-0.4734674184076898,0.14294335121902424,0.007715878641077351
weight 38,0.01218240335530558,0.026816726661461107,0.03776476825539811,-0.06734123998763791,0.4160721180950915,0.02801881235680638,0.006378819465654754
weight 39,0.4965300408362999,0.01565725761488142,0.028561177829115877,-0.8649879831933239,-0.008516726844922997,0.007366866376998384,0.0384793330480548
weight 40,0.7188247501462435,0.022565693520884958,0.03431716256950309,-1.1614618923764197,0.2570238719016657,0.2985234326448231,0.03456384631123939
weight 41,0.0003732564908874883,0.00018592270303678296,0.0031279667276917773,-0.5185107886886701,-1.1818259707930268,0.6127895162086454,0.0025881217335580855
weight 42,0.00011318564158002517,0.0003370376410787989,0.004178345173680864,0.46809066754919076,-1.1333689067043387,0.5305194081187304,0.048852539208879504
weight 43,0.0006628574049966549,0.0036220450154762964,0.014112286654358734,1.1121950812674062,-0.675086807694583,0.7508282269464305,0.027138183080243558
weight 44,0.00040452063814805795,0.0035928707627987944,0.013768266106664345,1.650395551419173,-0.690957492961506,1.140353172603414,0.02921054347521961
weight 45,0.039047967714061105,0.028996363370858095,0.03928255783183482,-0.7612990073123285,0.48609223994677353,0.37006153973370487,0.0011662418420154124
weight 46,0.007231058480703991,0.005975476129813696,0.017506495969754336,-0.3507065958023635,-0.5185018939860095,0.1818420341569114,0.049903303724548584
