,conv1_neuron_0,conv1_neuron_1,conv1_neuron_2,conv1_neuron_3,conv1_neuron_4,conv1_neuron_5,conv1_neuron_6,conv1_neuron_7,conv1_neuron_8,conv1_neuron_9,conv1_neuron_10,conv1_neuron_11,conv1_neuron_12,conv1_neuron_13,conv1_neuron_14,conv1_neuron_15
conv1_neuron_0,1.0,-0.08131494349484264,-0.054892846428870976,0.021563469787434435,-0.12525537580077772,0.005390058356851358,-0.10645987932425656,0.02237468622260274,,,,,,,,
conv1_neuron_1,-0.08131494349484264,1.0,-0.0223698512785194,-0.13064693393342353,-0.06575779898112356,-0.0049039969362141295,0.0020952824519282474,-0.035434104010575174,,,,,,,,
conv1_neuron_2,-0.054892846428870976,-0.0223698512785194,1.0,-0.0867212639395233,-0.053593630432852465,-0.028973018653695858,-0.06254788642505564,-0.09204882039457507,,,,,,,,
conv1_neuron_3,0.021563469787434435,-0.13064693393342353,-0.0867212639395233,1.0,-0.035096749665942756,-0.010339536309498718,0.03359918148178865,-0.06358818967055992,,,,,,,,
conv1_neuron_4,-0.12525537580077772,-0.06575779898112356,-0.053593630432852465,-0.035096749665942756,1.0,-0.13855106530552475,-0.050907173073208294,-0.06641747409922945,,,,,,,,
conv1_neuron_5,0.005390058356851358,-0.0049039969362141295,-0.028973018653695858,-0.010339536309498718,-0.13855106530552475,1.0,-0.008268413602840502,-0.026575728396473694,,,,,,,,
conv1_neuron_6,-0.10645987932425656,0.0020952824519282474,-0.06254788642505564,0.03359918148178865,-0.050907173073208294,-0.008268413602840502,1.0,0.0174447942278168,,,,,,,,
conv1_neuron_7,0.02237468622260274,-0.035434104010575174,-0.09204882039457507,-0.06358818967055992,-0.06641747409922945,-0.026575728396473694,0.0174447942278168,1.0,,,,,,,,
conv1_neuron_8,,,,,,,,,,,,,,,,
conv1_neuron_9,,,,,,,,,,,,,,,,
conv1_neuron_10,,,,,,,,,,,,,,,,
conv1_neuron_11,,,,,,,,,,,,,,,,
conv1_neuron_12,,,,,,,,,,,,,,,,
conv1_neuron_13,,,,,,,,,,,,,,,,
conv1_neuron_14,,,,,,,,,,,,,,,,
conv1_neuron_15,,,,,,,,,,,,,,,,
