,conv2_neuron_0,conv2_neuron_1,conv2_neuron_2,conv2_neuron_3,conv2_neuron_4,conv2_neuron_5,conv2_neuron_6,conv2_neuron_7,conv2_neuron_8,conv2_neuron_9,conv2_neuron_10,conv2_neuron_11
conv2_neuron_0,1.0,0.1521858488113843,0.21114472396679887,0.19178281966309083,0.1876591373403375,0.20895284518284937,,,,,,
conv2_neuron_1,0.1521858488113843,1.0,0.1808526470377023,0.16810204833565268,0.15761211700638583,0.21565626374179486,,,,,,
conv2_neuron_2,0.21114472396679887,0.1808526470377023,1.0,0.20600255276960808,0.15579154342698048,0.23983183571859684,,,,,,
conv2_neuron_3,0.19178281966309083,0.16810204833565268,0.20600255276960808,1.0,0.14310607896371183,0.20045632050946469,,,,,,
conv2_neuron_4,0.1876591373403375,0.15761211700638583,0.15579154342698048,0.14310607896371183,1.0,0.12643256531043237,,,,,,
conv2_neuron_5,0.20895284518284937,0.21565626374179486,0.23983183571859684,0.20045632050946469,0.12643256531043237,1.0,,,,,,
conv2_neuron_6,,,,,,,,,,,,
conv2_neuron_7,,,,,,,,,,,,
conv2_neuron_8,,,,,,,,,,,,
conv2_neuron_9,,,,,,,,,,,,
conv2_neuron_10,,,,,,,,,,,,
conv2_neuron_11,,,,,,,,,,,,
