,weight 1400,weight 1401,weight 1402,weight 1403,weight 1404,weight 1405,weight 1406,weight 1407,weight 1414,weight 1415,weight 1416,weight 1417,weight 1418,weight 1419,weight 1420,weight 1421,weight 1422,weight 1423,weight 1424,weight 1425,weight 1426,weight 1427,weight 1428,weight 1429,weight 1430,weight 1431,weight 1432,weight 1433,weight 1434,weight 1435,weight 1436,weight 1437,weight 1438,weight 1439,weight 1440,weight 1441,weight 1442,weight 1443,weight 1444,weight 1445,weight 1446,weight 1447,weight 1448,weight 1449,weight 1450,weight 1451,weight 1452,weight 1453,weight 1454,weight 1455,weight 1456,weight 1457,weight 1458,weight 1459,weight 1460,weight 1461,weight 1462,weight 1463,weight 1464,weight 1465,weight 1466,weight 1467,weight 1468,weight 1469,weight 1470,weight 1471,weight 1472,weight 1473,weight 1474,weight 1475,weight 1476,weight 1477,weight 1478,weight 1479,weight 1480,weight 1481,weight 1482,weight 1483,weight 1484,weight 1485,weight 1486,weight 1487,weight 1488,weight 1489,weight 1490,weight 1491,weight 1492,weight 1493,weight 1494,weight 1495
weight 1400,1.0,0.46719914833898124,0.1875178195762609,0.20370514263629372,0.35580478642203506,0.3709577550060261,0.2151851900685813,0.143492880860637,-0.021131839327632882,-0.05001681204499578,-0.015052756799827335,0.022823743471309152,-0.017298324491427798,-0.03140015196412369,0.0034761897227341375,-0.01685535126654222,-0.03043307725749746,0.05020971403304293,-0.00114705417441249,-0.023715223083948113,-0.06235340096341412,-0.003640795399868189,-0.08312518826108516,-0.003940894729686121,-0.03169838140440736,-0.018483105121019548,-0.009829332943074646,0.039599437479629164,-0.07969525800221028,-0.03753288852134681,0.07084514925667713,0.06802814654236414,-0.02384616347027108,-0.00227937662822735,-0.05423626570370412,-0.017044343836915415,-0.048058228573351805,0.01244858064897723,0.02798367352087608,-0.012301024937533489,0.024870991752666202,-0.033782757778708275,0.01547734757608107,-0.02122013214943092,-0.03953319831260219,0.02787756822319649,0.033754477400172025,0.07055565999605269,0.03539457198742498,0.03534237117577006,0.05214989655952385,0.015801731765169323,-0.03887278097116399,0.009407182811266708,-0.04279050949655037,-4.382616937971243e-05,0.00630774308331887,0.022997343316742226,-0.07292967426377396,0.02371142637280635,-0.04291600361800057,0.05465358264812725,0.005906782361775762,0.1091490885026906,0.008033353924217262,0.041165263301037994,-0.0775600526333923,-0.09637610900055271,-0.01944272524637068,0.03265190433952555,0.03726547714476141,0.0006906849117527687,-0.07336627696394847,-0.05310018824271849,-0.0210974934517839,0.05442132534699268,-0.0007142308430272848,-0.02216618458772887,0.03543844355493696,-0.03699979180008149,-0.013673347865062132,-0.0009485128074940038,0.037652699699527455,0.03496591386572921,0.06164618710677835,0.0002133665706815586,0.003661447604770077,-0.030163849137478497,0.06264476058017401,0.07038206880093452
weight 1401,0.46719914833898124,1.0,0.5180182536577794,0.06661099984425503,0.17768269713471657,0.33675745275579383,0.38291328369147354,0.2375741885874487,0.0006262020895822387,-0.01883002524491001,-0.028252503611216246,0.004140335935551277,-0.03879101825637911,0.008897476667252628,-0.07640711177282872,-0.00739019406695818,-0.0036871730309598876,0.0447740425914137,-0.05198992831523622,-0.03257415374246881,0.001243675996156793,0.07112405276480077,-0.012071531611147292,-0.02932691319015516,0.005860673492667048,-0.04489811101098585,-0.055439344163239875,-0.03003291054108573,-0.01588178693687346,0.015267343447696993,0.09113323908239387,0.058611095418280926,-0.031421786095754405,-0.016770172490671982,-0.022644092728712182,-0.07870283006290207,0.058300713109243965,0.004685184729585762,0.02121698743692732,-0.061002011054290387,0.021794290881208222,0.016094741906472494,0.040620508100201125,0.0022602834806795366,-0.015171587187889125,0.05360986386752973,0.07130548125576122,0.12967272152314407,0.02313272848609468,0.07006563104365278,0.002265820049360737,-0.01077785874741332,-0.037951482055586,-0.06667865636890782,-0.01939058484803951,-0.004495502061709373,-0.051550859528877536,-0.012450884261133261,-0.05558520771815504,-0.008858592910941446,-0.02909361721089764,0.03621978800663029,0.051296320330177274,0.05544856273567224,-0.07824098858713557,-0.014228516162138667,-0.12334976617907822,-0.08373551819528077,0.013718863096250504,-0.01530437247466346,0.017630741721084735,0.014889467417537274,-0.04747054315354351,0.003589884476259821,-0.009253092689800716,-0.00629351339675503,0.01583778463827224,0.02699445403472673,0.02294689417777356,0.008242607205336823,-0.008408799555691782,0.025262782079650013,0.003201963165760375,-0.01577501815407942,0.06057824193462536,0.047137291580660885,-0.014484216150431068,-0.07364077451592115,0.05646312521590517,0.006548774459670589
weight 1402,0.1875178195762609,0.5180182536577794,1.0,0.03277312775363,0.04376397216234842,0.15837722367727533,0.37049991781753777,0.41813634763004986,0.07445228121120752,0.03139649440795161,0.0591550348004579,0.04629710568977389,-0.05440714029886811,-0.012389970793754168,-0.11965508839541518,-0.0548899866393779,-0.03641522929263221,0.034454708050344264,-0.05706524647513081,-0.015120135387845452,-0.039839636374854506,-0.019501820860095005,-0.03380349581475264,-0.07561314410921259,0.043390802781970744,-0.021068242543287808,-0.06069649430525469,-0.05482903041723609,0.007252073864998248,0.0603289153033007,0.08795654555175038,0.06953664472432503,0.06038610660376462,-0.03197265056598983,0.03462251800352377,-0.058894552521824434,0.07849957708705836,0.050940180550531615,0.027901238698624153,-0.007866959858566091,0.013689870124023056,0.06469428784026693,0.05616648822219664,0.017405407456473527,-0.03715988013660493,0.02903721768933657,0.004938622837100192,0.08307101690341027,0.02752377093810737,0.029932642908244794,-0.0519086593071077,0.028947723044821527,-0.11001739746346866,-0.07606795891647931,0.038419458845930454,0.003998535447281699,0.01991102515574176,-0.01804315474836365,-0.07069290742039551,-0.02092305060799797,-0.01541933155828201,0.034722235881941885,0.02457286324479587,0.0410032494661483,-0.034366663175225874,-0.01592581082915541,-0.12054620658878312,-0.10775809451033569,0.04730992169181105,0.00819596098145598,0.024949534065668216,0.10673689703345211,0.003575229897617818,-0.027493067367235894,-0.007894953682672701,-0.05104463572364567,0.031998221653427514,0.09874285995571741,0.07364910224204865,0.08398242771519876,0.0009655472408857681,0.015924633309470648,-0.0030698817938706346,0.05910690402093848,0.048081657591696574,0.017842917815888294,-0.008387880770359206,-0.04829809116861565,0.04820688193797859,-0.03688362453220808
weight 1403,0.20370514263629372,0.06661099984425503,0.03277312775363,1.0,0.48723162549664667,0.12842546152938894,-0.046547626374231585,-0.016078696428075214,-0.08818991927023523,-0.07741082749709133,-0.007580458081776259,0.0023297674378790455,-0.05535859397021166,-0.06395816165764939,-0.06843959026524367,-0.04239036149297583,0.023406812995747574,-0.012048660473962426,-0.009919174559494969,-0.01654707717155497,-0.022696902392069392,-0.03933204998997597,-0.06313605927367483,0.013799167003571781,0.003585660791224693,0.0164587833018095,0.11741394945709403,0.06633221304533816,-0.02616066403913422,-0.0024232086729163416,0.024698516143241294,-0.04901305559072687,0.08363361863453563,0.07133980485973873,-0.03238402878635451,-0.009169563318741036,0.0408011132153309,0.003687953203467459,-0.06595185349647723,-0.006811089491732858,-0.0049300477681469956,-0.004860208226865365,0.004580009978000738,-0.033486647099983134,-0.04032552946654506,0.001653292712211031,0.023990427946611666,-0.0413484772316261,-0.04668906825556559,-0.05806997229955639,-0.02242114207609411,-0.07579698834994829,0.07195292171978823,0.017024334007455694,0.10378967897776414,0.04992912576768073,0.007791835841114926,0.03879460304581888,0.04618615685176228,0.06868660963233282,-0.023526971224160562,0.006784530785393759,-0.02369436558442589,0.029069385041136785,-0.010091750028720294,0.12598484211718022,0.05522969116541504,0.006243172147644517,-0.07830575006881813,-0.002192416371543987,-0.06578241397030776,-0.03798354202155375,-0.02979316744276693,0.014173444128136335,0.06009523477194562,0.05259717436350176,0.011354605903671173,0.046594087579353544,0.020446750053117073,8.317070969634799e-05,0.046565269744275196,-0.004622000012086679,-0.04634321860694865,-0.05515254716457664,0.03272606906097126,0.0345503500488679,0.05600360315306519,0.05271078384323702,-0.026333212534237867,-0.050140709099504396
weight 1404,0.35580478642203506,0.17768269713471657,0.04376397216234842,0.48723162549664667,1.0,0.4963364853364634,0.12839368016614322,0.016583502148924796,-0.11641390464556707,-0.12246511388903164,-0.059441131607750795,0.017839706054374255,-0.008640829494714557,0.01985419233483113,-0.019200093907859175,-0.004372307827735554,0.017995685285740037,-7.997622718401393e-05,0.053788081639668806,-0.003697477550791046,-0.04201531807223989,-0.05574313495203129,-0.07560096456860922,0.0019062558106624852,0.0013757185318373072,0.02808164149809626,0.10870920291369113,-0.008520814342145246,-0.06920124631401328,-0.018755389312262442,0.07873948574596609,-0.010936127539585588,0.04647075731311583,0.0219419195925544,-0.06888095140880199,-0.003760501703923429,-0.039818909607042395,-0.06950859135543457,-0.030705976730566888,0.004038591647972111,0.10710156644460202,0.0258000217627247,0.04432348750413342,-0.02750713043598113,0.026597381247468396,0.00971139413975591,-0.0037495212642212395,-0.05625592559552082,-0.04631938330540916,-0.01701936069298348,0.028471442867403912,-0.003461993204554275,0.004786886615132863,0.014721304097518364,0.020745909289048084,0.016447569786834985,0.012078750294741463,0.03250957647988431,-0.004008403721812233,0.07978809059933259,-0.037473185574667285,-0.024932293922908116,-0.04326206524894166,0.03262547016801449,-0.04747825568538526,0.027322458997228714,-0.029262405662845156,0.00571966143466304,-0.005871678773226195,0.024011550739399846,-0.017772041818900693,0.00041013129625498766,-0.0037230521834976486,0.018196651744179292,-0.02158758983334607,-3.510659162742225e-05,-0.038922031507251195,-0.004786602428847445,-0.0072384275273915805,0.008127855420551609,0.05066492888338513,-0.006224725006272658,0.0026953677715287933,-0.03296725755138524,0.055201924866497,0.05076417886567593,0.018068959426557268,0.001933006277721219,0.02829430002083756,0.011931439136665126
weight 1405,0.3709577550060261,0.33675745275579383,0.15837722367727533,0.12842546152938894,0.4963364853364634,1.0,0.49564738245381973,0.15321072287072915,-0.1129898849220487,-0.08609130976706147,-0.055658201785273004,-0.007338170682602123,-0.04936472693694455,-0.0434886685750874,-0.020999279400270663,-0.00748582418997455,0.03907658101101706,0.09413881485321335,0.04414634828129934,-0.010663793619945842,-0.005786737241247898,0.037321254309654925,-0.01618867254077729,-0.007470914911363811,-0.04537872026413681,-0.0033216809725680413,-0.05805367635749026,-0.031777440547649936,-0.024581451089316045,0.037172603313333066,0.11115656724412028,0.03862966435950971,0.014626948274852366,0.017932898358795028,-0.04357615022903059,-0.061164530680862764,-0.02027590812097444,-0.048612224059533186,0.06504975886560464,0.0509382084300766,0.08055076678740897,-0.0012288124240518155,0.03988335696268576,-0.02171863765691066,-0.026311440840928485,-0.07805714840469204,-0.03162966047050481,-0.029760840302147432,0.03278590074924755,0.06552176662773754,0.059987721981288225,0.02659035987724754,-0.04712076527282634,-0.032906605822118414,-0.07531666252613073,-0.0013819481507922515,-0.04383879094408703,-0.007057511219578707,-0.05037239744250908,-0.011672741977665577,0.01244212416110631,0.00409554356402491,-0.03650012302314648,0.0135520951292272,-0.040881399826940105,0.0062940455097835165,-0.06688749000737865,-0.059410300580534994,-0.013035921548176317,-0.016035338497778863,0.005580540843608184,-0.039293137414438,-0.003811006644042424,0.040008768303483655,-0.04230523185725984,0.074437279241621,-0.01659234199353981,-0.0036357630414317146,-0.009876818654591455,-0.023286646833377955,0.004119278355554849,-0.028957168319639084,-0.009182705435020809,0.013595459092562235,0.021888375660858623,-0.011158416423660746,-0.06952384502625086,-0.047980264323906736,0.04011806997232906,-0.016406324668340563
weight 1406,0.2151851900685813,0.38291328369147354,0.37049991781753777,-0.046547626374231585,0.12839368016614322,0.49564738245381973,1.0,0.43250068858300916,-0.05519525366273242,-0.0640331842204221,0.008043848080078743,0.005105575376876308,-0.07393967300772114,-0.021764991949982146,-0.09727597054089052,-0.08763361283530721,-0.014168179030250057,0.10202101846568276,0.026989818660872963,0.01798553780917302,0.055448665519563796,0.11185579867160363,0.07197977434272473,0.01356099241375905,-0.036363289982121,0.0032315314581826066,-0.09473057450595088,-0.0694811642903693,0.08233561855763294,0.09440720007766935,0.050323272573232374,0.03648078729666176,0.014127791302584944,-0.015325349223391023,0.03716865720626202,-0.02950607426599268,0.04830673401089189,0.025077575465725116,0.007739605391747309,0.0015952749725761425,0.1386266673738337,0.06111772030305734,0.04967818383682698,0.019543658084949386,-0.06625581767128425,-0.10378584812272687,-0.026803769762843398,-0.030492023930750584,0.05548270671625307,0.08743151320542726,0.059311734719484,0.004355848124541708,-0.05537954449756841,-0.07255339579438438,-0.03901653613277923,-0.04549806717053676,-0.028935991996159535,-0.03374186900403665,-0.03737218777137997,-0.03230792269578934,0.011423507185973536,-0.020480132497681235,-0.009446748956103935,-0.05162228887592157,-0.0806922687903232,-0.06139879526777461,-0.04229476000043119,-0.054178912302458186,-0.0016537398781731822,-0.03937415228761431,0.05928162787429898,0.02825669920564035,0.0847647782781586,0.057000045856840424,0.02340307649461762,0.00352697552789299,0.020177650204103278,0.042066455756385714,0.025929263705623047,-0.012088317655187026,0.021372850853276587,0.04885971634542933,0.02468119431315106,0.05822847209223946,0.03335918751346554,0.009744025037464006,-0.10300294281208695,-0.07907478239027697,0.10976364043663558,0.01880247797155155
weight 1407,0.143492880860637,0.2375741885874487,0.41813634763004986,-0.016078696428075214,0.016583502148924796,0.15321072287072915,0.43250068858300916,1.0,0.0089734049394947,0.014928676898970917,0.08568839914030034,-0.010495628108849563,-0.15228148224661445,-0.042598674745790065,-0.07165329796734182,-0.027595315026489316,-0.04335281171737116,0.004125735053713155,-0.0016623588112531778,-0.043437991047247555,-0.0543400565981705,0.025314747611559014,0.020779515367048473,-0.043411482588753554,-0.032103909083803756,0.03516624451806654,-0.015118704831308566,0.04168046120049595,0.04084651908629471,0.042763895039107845,0.03231529752346916,0.04126761368086994,0.02250171592506205,-0.03282007883548581,0.04763495647191857,-0.036141178285681065,0.05162240318782506,0.04404061642505246,0.0293683735954815,0.01130279852379034,0.03325210289404046,0.0721323029337865,0.02694399640341867,0.04277275479819246,-0.026653179847494594,-0.019408013920753274,-0.027533009695041997,-0.03681974581758315,0.06466743129845291,0.041312172119128035,0.013647296845272007,0.057016021452387176,-0.0776430898924629,-0.07579793610086302,-0.09021503025600237,-0.048578920432913154,0.003911510384204599,-0.06495672595388746,-0.06256086820302721,-0.06114562908534396,-0.031788139286700025,-0.014817521946131318,0.006891662958182928,-0.0025091719592919516,-0.03409546125587882,-0.006378698067397447,-0.07740450395224951,-0.08448875707320641,0.034952664651467076,-0.01882051175244938,0.09799078239819742,0.07611113393858832,0.012440187871947127,-0.0024112362383800997,0.01875942747235547,0.01577517179637221,0.010053618239456108,0.021567891100069975,0.06927035190023413,-0.018931823552332225,-0.0014289448299087783,0.04335185518564187,-0.018008962321267474,-0.017182322276119013,0.01304906539945828,-0.01201720286005616,-0.08169038340167722,-0.06910970638513168,0.013864776003800382,-0.05679337637927893
weight 1414,-0.021131839327632882,0.0006262020895822387,0.07445228121120752,-0.08818991927023523,-0.11641390464556707,-0.1129898849220487,-0.05519525366273242,0.0089734049394947,1.0,0.4645637119105669,0.34167858220083225,-0.043302028244375165,0.07503631765648176,0.01675920946001029,-0.01950646295415469,-0.051512075431164414,-0.04128879277005057,-0.12264623582691135,-0.1489723040585089,-0.08787308678211044,-0.0841320093795238,-0.11460794115307371,0.03546253310814993,-0.09103074894131898,-0.054268246627742885,-0.09616705570432775,-0.14452057749480954,-0.1054005877192592,0.001199794841247128,-0.027276950749175473,0.035161065048933966,0.08712520413301637,0.0014269680205201223,-0.0035509994361833538,-0.13164213519349788,-0.09149905614665192,0.0015066730315341265,0.0689996036894984,0.039386908903394614,0.01827238188435636,-0.0104785310973159,-0.05839596957554716,0.0486390611473235,-0.019038155789873053,-0.032545768657964214,-0.07845904535055866,0.07153752487571276,0.024794712258322138,-0.02219505217577445,-0.024781444693738885,-0.09003929158024819,-0.010710741267712655,0.03894509143582049,0.07665813295197196,0.07079449154520667,0.04013391317895606,-0.006230180100422357,-0.010305528000889052,0.004058360257535383,0.021076561682673793,-0.0130176921508903,0.019131384942912204,0.02708583549651944,0.07720773173150387,0.01743079864042665,-0.05373045021252664,0.028402541892629946,-0.005540089371457554,-0.10120541509648026,-0.02560528845681574,0.05242297091676853,0.13618283861344388,-0.00992607963329403,0.003296397767212539,0.009030640218807949,-0.04113755467807109,-0.018200211852194437,-0.0013600010459238433,-0.018029905549473303,-0.08887091859611713,-0.02166424255456264,-0.081402018899902,-0.0771122103956582,-0.06504437766069748,0.1322555929346332,0.13521888383036598,0.04378894652108223,0.017269838290480084,-0.02144088301672273,-0.06580515085677667
weight 1415,-0.05001681204499578,-0.01883002524491001,0.03139649440795161,-0.07741082749709133,-0.12246511388903164,-0.08609130976706147,-0.0640331842204221,0.014928676898970917,0.4645637119105669,1.0,0.24886535182694308,0.1725265865199021,0.017094178385872173,-0.04477825372677194,-0.016539121027612177,-0.0645449725948135,-0.029707627826362992,-0.06937780299816608,-0.15687761429261948,-0.09254172265632757,-0.12719742168289336,-0.07007043800342616,-0.03027855454727691,-0.0616352035188676,-0.05929513153112497,-0.04748832012031013,-0.23051595211881057,-0.10676596487838784,-0.026880327313669013,-0.07789287307815006,0.015539979069664098,0.008681090221001091,-0.0017658747564013677,-0.05335204469937571,0.010776729864453919,-0.06017981272156413,0.019227186485280826,0.08407707221239313,0.021537631868958067,0.0621556037273644,-0.044544596092667185,-0.008411683276108866,-0.063821334927677,-0.057601764651355865,-0.05852273354547906,-0.09006723554358143,0.03230869973972961,0.07493282865384494,-0.027583499683513712,-0.070737055934541,-0.06686503372274898,-0.047535833890081,0.007773426610216721,0.010165764418501892,0.08467691461915065,0.0023620736855993044,-0.024796824991603447,-0.05058559846904145,-0.057104035934054775,-0.11117438101312296,0.037736834770747484,0.08992930961709276,-0.006796704019947184,0.02411191763988681,-0.008810206079575233,-0.056481555646966435,0.02343034136970982,-0.032360801352234,-0.004913923976726221,0.05387644605519402,0.06852735013929674,0.1380485840489848,0.0511796340301966,-0.03144134248945434,0.09655438348799276,0.004669258998931272,-0.0244292213482229,-0.038187442134600215,0.04141521313696134,-0.039503500366665015,0.02473548548035504,-0.026793668142717785,-0.05722996161155268,-0.046399178730492624,0.07161069050263576,0.10647184489275237,0.03686779134591932,0.011566661870000135,0.058456356657210634,0.015264209403210452
