,fc2_neuron_0,fc2_neuron_1,fc2_neuron_2,fc2_neuron_3,fc2_neuron_4,fc2_neuron_5,fc2_neuron_6,fc2_neuron_7,fc2_neuron_8,fc2_neuron_9,fc2_neuron_10,fc2_neuron_11,fc2_neuron_12,fc2_neuron_13,fc2_neuron_14,fc2_neuron_15,fc2_neuron_16,fc2_neuron_17,fc2_neuron_18,fc2_neuron_19
fc2_neuron_0,1.0,0.006237268123238711,-0.009623566734716406,-0.009261832624105475,0.002509756452277712,0.06713286295145196,0.04006647195608151,0.0167448659805515,-0.0032628589689772465,0.05405375030058787,0.011213747343556887,-1.8492538914293215e-05,2.8750331002841897e-05,0.03175989435482496,-0.029996598283106482,0.02001917856396672,-0.005712205197701392,0.010428313885468386,-0.023682542719207927,-0.026795846920827135
fc2_neuron_1,0.006237268123238711,1.0,-0.14869224725006439,0.16491140174832217,0.01864213416238312,0.1156545463219718,0.13533494577018357,0.23753496447867184,0.06116393076159665,0.07959852019068266,-0.0319678998557615,0.05434324685377447,0.0054046641237320316,0.004324130360718576,-0.043471728329715534,0.0706858786665936,-0.04728245729791582,0.036905262999960164,-0.009222699112213718,-0.06503291597745121
fc2_neuron_2,-0.009623566734716406,-0.14869224725006439,1.0,0.19205144376537933,0.28682429241202073,0.264740117210415,0.2662888672864633,0.2807181777664795,0.49062618919093953,0.27658798742198343,-0.08591300653027788,0.14233995149494075,0.07484516280451001,-0.05478568172604221,-0.050971509653998326,0.10832842146181298,-0.1800486991509597,0.05294823428874646,-0.002595607629143068,-0.1304482259856529
fc2_neuron_3,-0.009261832624105475,0.16491140174832217,0.19205144376537933,1.0,0.18056827677523637,0.20996086774286202,0.33896721066206476,0.27581632320741917,0.37368528745016855,0.33138199011077685,-0.03444544181520292,-0.01704901069029295,0.09231794712548283,-0.06345365401970712,-0.039785171884837815,0.17858226337107838,-0.17915570878068307,0.06053051074477362,0.027399990005974484,-0.14280235385481732
fc2_neuron_4,0.002509756452277712,0.01864213416238312,0.28682429241202073,0.18056827677523637,1.0,0.14110524639506178,0.27507995634054827,0.044748046443474465,0.29234362879690295,0.25419831703698,-0.0066983325090214365,0.16426095627846837,-0.027060346414029938,-0.06194890132569046,-0.08414698651762456,0.16044631974132753,-0.07609169002381311,0.031794697451462135,-0.06513412185752969,-0.11687785134646532
fc2_neuron_5,0.06713286295145196,0.1156545463219718,0.264740117210415,0.20996086774286202,0.14110524639506178,1.0,0.026762741404365603,0.4558799738718332,0.2010488974735227,0.35681408080936716,-0.02237062819326641,0.16499647668472267,0.03478063512465365,-0.10593441247137227,-0.10778819174141618,0.19128714273490274,-0.14706976620005532,0.08441241541323852,-0.06579888335772392,-0.13276789077420761
fc2_neuron_6,0.04006647195608151,0.13533494577018357,0.2662888672864633,0.33896721066206476,0.27507995634054827,0.026762741404365603,1.0,0.07149536789620496,0.36017841245150756,0.29929034836963236,0.05882562591399246,0.15679304920833806,0.02396448062002139,-0.06662114951851335,-0.10094072523717593,0.10281952356801767,-0.13112256715904913,0.07162652282049961,-0.020832392658135298,-0.18931827652491415
fc2_neuron_7,0.0167448659805515,0.23753496447867184,0.2807181777664795,0.27581632320741917,0.044748046443474465,0.4558799738718332,0.07149536789620496,1.0,0.24824296662787412,0.32817608499469336,-0.0075532020890923006,0.16169915558076012,0.020329479736881775,-0.005894400287240439,-0.11248026765459841,0.11141727711237188,-0.1792681373939415,0.08612304586304331,-0.03805725558908373,-0.1225777776072735
fc2_neuron_8,-0.0032628589689772465,0.06116393076159665,0.49062618919093953,0.37368528745016855,0.29234362879690295,0.2010488974735227,0.36017841245150756,0.24824296662787412,1.0,0.0965416015608314,-0.052336833698672466,0.15810499726905045,0.10302694223262171,-0.07250814462759311,-0.11018414837882698,0.16910618225284035,-0.2290464625301948,0.059052034383806816,-0.0037363212951160235,-0.18317608793162904
fc2_neuron_9,0.05405375030058787,0.07959852019068266,0.27658798742198343,0.33138199011077685,0.25419831703698,0.35681408080936716,0.29929034836963236,0.32817608499469336,0.0965416015608314,1.0,0.0026499532253150705,0.1365295215669736,0.051407416475354975,-0.06369002522902825,-0.1045837173759202,0.18898987779751622,-0.13071818696386528,0.019597918389878326,-0.07569279160128935,-0.13741305498717749
fc2_neuron_10,0.011213747343556887,-0.0319678998557615,-0.08591300653027788,-0.03444544181520292,-0.0066983325090214365,-0.02237062819326641,0.05882562591399246,-0.0075532020890923006,-0.052336833698672466,0.0026499532253150705,1.0,0.32136249451995785,-0.40418249892399216,-0.08772277873553035,0.06150082692390539,-0.37242239948442873,0.19310691261630222,-0.12459981402479381,-0.18220812820129736,-0.08146995335278903
fc2_neuron_11,-1.8492538914293215e-05,0.05434324685377447,0.14233995149494075,-0.01704901069029295,0.16426095627846837,0.16499647668472267,0.15679304920833806,0.16169915558076012,0.15810499726905045,0.1365295215669736,0.32136249451995785,1.0,-0.4951335516739912,-0.22319664461931593,0.0696036838880787,-0.1866958874601572,0.13887910169545012,0.11390712927289669,-0.44026831973747976,-0.18881662099459956
fc2_neuron_12,2.8750331002841897e-05,0.0054046641237320316,0.07484516280451001,0.09231794712548283,-0.027060346414029938,0.03478063512465365,0.02396448062002139,0.020329479736881775,0.10302694223262171,0.051407416475354975,-0.40418249892399216,-0.4951335516739912,1.0,0.034828415176121875,-0.22370650710343193,0.23465630455376724,-0.27089740617542957,-0.11591277751506529,0.11832975845249627,-0.16630541556920067
fc2_neuron_13,0.03175989435482496,0.004324130360718576,-0.05478568172604221,-0.06345365401970712,-0.06194890132569046,-0.10593441247137227,-0.06662114951851335,-0.005894400287240439,-0.07250814462759311,-0.06369002522902825,-0.08772277873553035,-0.22319664461931593,0.034828415176121875,1.0,-0.30180107965384745,0.03197789760577356,-0.2683402961799508,0.005824682150379278,-0.16996911907714934,-0.025861681212782678
fc2_neuron_14,-0.029996598283106482,-0.043471728329715534,-0.050971509653998326,-0.039785171884837815,-0.08414698651762456,-0.10778819174141618,-0.10094072523717593,-0.11248026765459841,-0.11018414837882698,-0.1045837173759202,0.06150082692390539,0.0696036838880787,-0.22370650710343193,-0.30180107965384745,1.0,-0.42260329258944107,0.11374991390490523,-0.16955696006142434,0.04591780517995207,0.030816445638546457
fc2_neuron_15,0.02001917856396672,0.0706858786665936,0.10832842146181298,0.17858226337107838,0.16044631974132753,0.19128714273490274,0.10281952356801767,0.11141727711237188,0.16910618225284035,0.18898987779751622,-0.37242239948442873,-0.1866958874601572,0.23465630455376724,0.03197789760577356,-0.42260329258944107,1.0,-0.28914272328537455,0.07184235947496158,-0.1567421360579182,-0.2321335245506252
fc2_neuron_16,-0.005712205197701392,-0.04728245729791582,-0.1800486991509597,-0.17915570878068307,-0.07609169002381311,-0.14706976620005532,-0.13112256715904913,-0.1792681373939415,-0.2290464625301948,-0.13071818696386528,0.19310691261630222,0.13887910169545012,-0.27089740617542957,-0.2683402961799508,0.11374991390490523,-0.28914272328537455,1.0,-0.3176310554639569,-0.09150996198722601,-0.023799735847125872
fc2_neuron_17,0.010428313885468386,0.036905262999960164,0.05294823428874646,0.06053051074477362,0.031794697451462135,0.08441241541323852,0.07162652282049961,0.08612304586304331,0.059052034383806816,0.019597918389878326,-0.12459981402479381,0.11390712927289669,-0.11591277751506529,0.005824682150379278,-0.16955696006142434,0.07184235947496158,-0.3176310554639569,1.0,-0.298210257575893,-0.13154864932173332
fc2_neuron_18,-0.023682542719207927,-0.009222699112213718,-0.002595607629143068,0.027399990005974484,-0.06513412185752969,-0.06579888335772392,-0.020832392658135298,-0.03805725558908373,-0.0037363212951160235,-0.07569279160128935,-0.18220812820129736,-0.44026831973747976,0.11832975845249627,-0.16996911907714934,0.04591780517995207,-0.1567421360579182,-0.09150996198722601,-0.298210257575893,1.0,0.07086324308743958
fc2_neuron_19,-0.026795846920827135,-0.06503291597745121,-0.1304482259856529,-0.14280235385481732,-0.11687785134646532,-0.13276789077420761,-0.18931827652491415,-0.1225777776072735,-0.18317608793162904,-0.13741305498717749,-0.08146995335278903,-0.18881662099459956,-0.16630541556920067,-0.025861681212782678,0.030816445638546457,-0.2321335245506252,-0.023799735847125872,-0.13154864932173332,0.07086324308743958,1.0
