param,pearson_accuracy,pearson_epoch,spearman_accuracy
weight 0,-0.008531584726600518,-0.0073880409463341025,-0.022234346795067625
weight 1,-0.01348290661917801,-0.0010217719553437658,-0.02316582154989535
weight 2,0.013248452337938827,-0.006202461566868734,-0.008110984661158517
weight 3,0.016383133285119728,-0.003917255405767024,-0.0004377309689023558
weight 4,-0.003908752738182198,-0.0005149230992922496,-0.021118549001061606
weight 5,-0.007412894414900643,-0.005858213460993118,-0.027470181434102067
weight 6,0.012625855296292446,-0.0079952369579319,-0.02973980872631204
weight 7,0.02963664268297362,-0.01493606614859172,-0.027102779323786973
weight 8,-0.0012126074422534646,-0.008430666107599377,-0.038285420055501666
weight 9,-0.05455920881051355,-0.0058589780810673975,-0.0690170667292172
weight 10,-0.03809866542907918,-0.009176919639135203,-0.053844964610232485
weight 11,0.021832045042601313,-0.005609569812766812,-0.01846053164540441
weight 12,0.03256297494722581,-0.0007542271834171655,0.009047897098068634
weight 13,0.012190272882808975,-0.004574938586558833,-0.019064746342660817
weight 14,-0.04712605085387932,-0.005122513930602848,-0.05199471057094965
weight 15,-0.029312520456347153,-0.01551490333303337,-0.04909032845903487
weight 16,0.007504040648091306,-0.009518618067823175,-0.0171717509072373
weight 17,0.03408543133400044,-0.010220436999663966,-0.003068422198110178
weight 18,0.014567641896490933,-0.009434982918050373,-0.006078147076868509
weight 19,-0.044106527549724585,-0.007464074322371754,-0.0519342298302987
weight 20,0.01583166471744256,-0.00565212407368277,-0.014291864011754946
weight 21,0.03687800597207506,-0.013510385119066227,0.01123251467720459
weight 22,0.08210352294084836,-0.01155915613429078,0.0365484890560176
weight 23,0.03431616042695762,-0.003616930117305764,0.0033954705476262146
weight 24,-0.008793454177538816,-0.003207929707419965,-0.021962711501343175
weight 25,-0.003312714763756075,-0.008787876383154983,-0.02426179516663427
weight 26,-0.010145197259235185,0.00037700952512544024,-0.026002351572069527
weight 27,0.024383085941468888,-0.005562808402552506,-0.010758737251808826
weight 28,0.032042896574593825,-0.005512832445388781,0.006173291748363627
weight 29,0.030233909216346673,-0.0031234728743780357,0.0016133771263003613
weight 30,0.010037142491936542,-0.0077490267049143725,-0.026765337931589
weight 31,0.023792064678041774,-0.0071787216680780155,-0.022210172075577957
weight 32,0.03729399951486245,-0.013534732407183928,-0.014540941641327649
weight 33,0.0036467065544851557,-0.009824885669686667,-0.025752826563876546
weight 34,-0.01996960419270564,-0.00723359113123771,-0.04425919392558525
weight 35,-0.015765306555991496,-0.007294881757485125,-0.04749669741004436
weight 36,0.0022360243852601216,-0.005561935810155492,-0.04003015856368518
weight 37,0.007715878641077351,-0.00012132821091423977,-0.024727158800174554
weight 38,-0.006378819465654754,-0.002776340280759791,-0.02961253699979325
weight 39,-0.0384793330480548,-0.005663197488052514,-0.056874679023499276
weight 40,-0.03456384631123939,-0.016416485096422653,-0.05280453947864852
weight 41,0.0025881217335580855,-0.01188790687614353,-0.029277210989475517
weight 42,0.048852539208879504,-0.013919160296315793,-0.0026291916625225445
weight 43,0.027138183080243558,-0.0080291591696184,-0.004201001072601716
weight 44,-0.02921054347521961,-0.006672289729983474,-0.034648644781531186
weight 45,0.0011662418420154124,-0.0064246758308198065,-0.017457321403614393
weight 46,0.049903303724548584,-0.017931975765619564,0.022919596350919932
weight 47,0.09449648446925732,-0.010980706058456427,0.039434838039097184
weight 48,0.05254763177077087,-0.003711742830204857,0.00583879844485355
