Experiment,Loss_Type,Epoch,Scenario,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_MAPE,PD_vs_FN_Wasserstein,PD_vs_FN_JS_Divergence,PD_vs_FN_KL_Divergence,PD_vs_FN_Cosine_Sim,PD_vs_FN_Pearson_Corr,PD_vs_FN_AUTO_Loss
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.014662394702632644,0.09324562323827763,26762.663414594426,0.09139550476982876,0.1461494239611396,0.7369438259149649,0.10476665866429298,0.059724384987031066,0.06673268820261606
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.021491753694410694,0.10315379312385325,68049.86760961585,0.1020866006820337,0.16619700114652655,0.8616038172109596,0.09353746540545269,0.06668733345236254,0.07657985966597966
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.3877719014374564,0.4362328380328383,446.3801862288495,0.055514599950339784,0.08168000749179993,0.40063522569583637,0.7473557333237372,0.7476306695382057,0.30524953272408206
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.031752110211874573,0.12844559532879418,2454.8542138353364,0.10459994962792377,0.16221115047680057,0.790616154117282,0.2629591945341743,0.2630339262258987,0.0883756276566529
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04043771671452718,0.1466998748362024,11346.035188012855,0.13329543683375963,0.17230946305146794,0.8759134172302213,0.11694989609259941,0.11607393068341838,0.10407508280857031
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.03191780896196762,0.13226320005745823,36720.52448139427,0.12619031079650436,0.17399866848683765,0.8979429149584697,0.07625039384357134,0.07327636426994948,0.09508401261000915
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.031686831723306844,0.12628167052651545,10910.092562916838,0.1201161217429263,0.17292283500043937,0.877254903802758,0.07385524937499378,0.07606480024665944,0.09187474169590658
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.028456933768620945,0.12034680142959743,15730.63060142352,0.11732103865697693,0.17245984269253764,0.8969920210042771,0.0318086583503182,0.026721268271801775,0.08819700593697676
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04527888822295029,0.16078164293436242,2444.7291610521947,0.09501605751875196,0.15020432314368137,0.7336759804026055,-0.020648252456097513,-0.02578151967067305,0.10036969198760738
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04640264360887887,0.16611926283332978,1880.451289458495,0.09488716005584172,0.1439544383734684,0.7100851217559675,-0.06117639499158298,-0.06622113215764978,0.10176971214206566
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.047611930973584134,0.16862093948067472,1368.7006331858952,0.0943625561952094,0.14892157304183712,0.7488578336148707,-0.08027985202585605,-0.08345041468142017,0.10339572277686165
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.03950206638651584,0.15164719386790315,1202.4938747349795,0.09833063906052547,0.15630864876698036,0.7755693677965743,0.008114150250452435,0.0038712856596121825,0.09659197740378042
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.03996470956092342,0.15786112800913135,1402.738509189429,0.08142025673963611,0.15094871689124578,0.7474376869959521,-0.06119425819793999,-0.06568959862192907,0.09472314526416056
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05012040805981155,0.1731180742034523,10051.401904676028,0.09809177473693358,0.14985684111794,0.7435768597261568,-0.10263844896568668,-0.10021055017113914,0.10658762454414103
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.047907817493052014,0.1694025755222611,1091.5231814050078,0.09408028426557274,0.14505227270658877,0.7341323730732806,-0.1068587493564518,-0.10572728178233089,0.10330518377767257
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04663846687495487,0.16733058525696232,1875.5507161494606,0.0922019135710336,0.1460870100980915,0.7363308299398504,-0.08654529357221329,-0.08900793821150749,0.10190364605108652
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04293619645570205,0.16179952202124478,1417.6137091585624,0.08834325036590934,0.14873167633156525,0.7470583591797006,-0.07695714697515234,-0.0828568121733562,0.09825615289499265
