Experiment,Loss_Type,Epoch,Scenario,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_MAPE,PD_vs_GT_Wasserstein,PD_vs_GT_JS_Divergence,PD_vs_GT_KL_Divergence,PD_vs_GT_Cosine_Sim,PD_vs_GT_Pearson_Corr,PD_vs_GT_AUTO_Loss,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_MAPE,FN_vs_GT_Wasserstein,FN_vs_GT_JS_Divergence,FN_vs_GT_KL_Divergence,FN_vs_GT_Cosine_Sim,FN_vs_GT_Pearson_Corr,FN_vs_GT_AUTO_Loss
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05965697453832143,0.18326913666840625,45058.74744665161,0.18135212991966787,0.15278050521668973,0.764445143974348,0.01992205953501686,0.015407019458893867,0.130392007321453,0.07409496897042323,0.20774872259345045,1848.292050732098,0.09090565997318854,0.1556863993279006,0.7840917304626523,0.005057884117222821,-0.0009771836261467184,0.1257123762936322
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.0596609126601568,0.1832820254909842,160853.54538939515,0.1821270346183512,0.15273036703470308,0.7684445382368242,0.022355126060848274,0.01850155579755135,0.13054741633849853,0.08040037735407067,0.21670149593742374,2023.5095205573157,0.08134425147838611,0.17843400369758022,0.914738473102661,0.011234741642369001,0.007132318414087631,0.13128285038829063
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.7748698027435761,0.5856838281909638,338.67021487415496,0.35629373801913755,0.19594434634778926,1.0207746686760344,-0.0006402950931294905,-0.0009074304644024081,0.576506251793326,0.8711302771486494,0.5621134143698304,237.45769065872503,0.331811678993312,0.20037050984253535,1.0805836622072376,-0.0010956791349900506,-0.00074590507201177,0.6034855219533248
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.061473071219324535,0.18676873917002174,3792.347346026289,0.15456084927106958,0.18748008533248434,0.9671640598461111,0.0046865253389434805,0.004372183157965447,0.13028002862619867,0.09323212976558212,0.2354965731305764,961.4001244258022,0.052451276203892165,0.17901826696715095,0.9165237987268089,0.005843006336510581,0.003367404628721028,0.13633390578289928
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06011087320532061,0.18420716721319205,15908.99701970315,0.16874797842710648,0.17866997253153996,0.9140337315852236,-0.0008723611060376996,-0.0012430642585976985,0.13092309238466115,0.10072337006668661,0.2430827758773945,1250.3269172593707,0.03661077369551823,0.17077941956745096,0.8588761281288929,-0.0005969818166574677,-0.002839063005397441,0.13761427748574173
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.059767990880601064,0.18348189807667278,59288.23539062717,0.17653512765299018,0.18034296805778838,0.924196509445595,0.0010528684136227218,0.0001238148249754781,0.13229308811161913,0.09111105784420241,0.23362741290850278,1784.2186927836653,0.052498192131764605,0.171648681303916,0.8744098785204187,0.007475470556762414,0.0053511377690141256,0.1341971535669763
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05979367602093034,0.18352735198899967,12888.134579064605,0.17648211729968144,0.17190836620845173,0.8771354479765957,-0.006060830968175607,-0.005907402004817279,0.1314629360858535,0.09068611354290297,0.2305881534871488,819.6328980042541,0.0604216375896036,0.17699631393448909,0.903463224446545,0.009588703126490315,0.005463767597392973,0.13523485037467547
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05969748467496323,0.1833542320694947,24210.072122361555,0.18018571669396183,0.15971289254089555,0.8201314256157258,-0.0013603464742157497,-0.0021144965681000626,0.13089369608371562,0.08801262941666993,0.2276399248947165,1072.018669409524,0.06662924562105875,0.1788237623794203,0.9172029911843974,0.0017860833801964376,-0.0026996095997295277,0.1347052545972367
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06332842653890203,0.18988940055441375,2015.4688473267693,0.1284179310064397,0.1411550249942949,0.701789283642309,0.026930021067688877,0.024719311429795943,0.12209727948260236,0.09794283895662492,0.2425741754067349,780.9380056153009,0.03518050511666057,0.1672861557826026,0.8521090727065901,0.015506012252111121,0.014262241918396354,0.13571410480626284
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06362060702359736,0.19043220981406897,1966.9397700604882,0.12619766571038643,0.1383625918146622,0.6881564258617567,0.02478745242304492,0.0227240249150188,0.12165369807720314,0.0977538584371315,0.24372604858642344,668.5400655677405,0.0340912257096495,0.16593313139592597,0.8436219251694772,0.014726000829727358,0.013459959026459037,0.13563091623230214
