Experiment,Loss_Type,Epoch,Layer,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_Wasserstein,PD_vs_FN_Cosine_Sim
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_1,0.026716599781896874,0.13667705182219045,0.1356537065587728,0.14071343931503302
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_2,0.01466208100193071,0.09324879846413398,0.09140987642506303,0.07981571185070603
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_3,0.030498017182592107,0.14749294174424854,0.1455541222467984,0.20165288931920983
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_4,0.009865013464844584,0.0754888232252944,0.07366863027005292,0.07936266134915572
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_5,0.012089078200379468,0.0869491170057783,0.08525489304599827,0.20896433340385304
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_1,0.030675460324237458,0.13613916836027076,0.13541485331572614,0.07836223431485177
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_2,0.025468099610151843,0.10817427439161308,0.107093564185825,0.052444873712841844
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_3,0.036408512242727224,0.1642543067513793,0.16315505645335351,0.3006362862826924
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_4,0.010938808755383818,0.07626391296511328,0.0752049334781687,0.08200291317354585
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_5,0.01964327391660353,0.10730999072682214,0.10649097013727184,0.25614082290559315
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_1,0.41002344289404546,0.41139420511476443,0.11130568346763597,0.8518540188518899
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_2,0.4578526516465446,0.4743485325498546,0.058382153531223724,0.7341577604238188
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_3,0.3292399663504293,0.38878412537617635,0.13878301303624185,0.7617141855417615
