Experiment,Loss_Type,Epoch,Layer,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_Wasserstein,PD_vs_GT_Cosine_Sim,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_Wasserstein,FN_vs_GT_Cosine_Sim
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_1,0.10432483222808264,0.2610590309380397,0.2590126216953148,-0.0032964165125187604,0.13416169391460847,0.2874239093047809,0.19561584698873202,-0.028572067354829717
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_2,0.022914954530811955,0.11789211657572496,0.11602247575651892,0.014110513245081543,0.037733175389956186,0.1516879171705428,0.028665884822507096,-0.003005484167611272
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_3,0.10014197680077523,0.2587357774049878,0.256770716797544,0.09264556191999274,0.12239310237535381,0.2852457214083776,0.12799278576670062,0.07757125810540984
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_4,0.08105399190635701,0.22485994564020936,0.22294901834042533,0.015307345634075155,0.0905926691264195,0.2377086730491482,0.1495112548420694,0.006615353060670293
MAE 2025-12-06 02:07:01.415742 300_epoch49,MAE 2025-12-06 02:07:01.415742 300,49,Layer_5,0.13174111097162786,0.2991764010060103,0.29720763790329224,0.03748752966016786,0.14228702998814974,0.3083050525237361,0.2121340389964645,0.021509307875371406
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_1,0.10431392418209852,0.2610475779340422,0.2599296768339168,0.0016165604482325474,0.1345689412641005,0.2897629941002107,0.1624979106372187,0.004050219505344493
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_2,0.022916013620634335,0.1178999347091225,0.11675496315787287,0.012488649359313729,0.04848159801083433,0.16733628966012387,0.03261820460329586,-0.0014772582743128268
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_3,0.10019341011171641,0.2588180810279017,0.25771059943402874,0.09932137763756098,0.12602402599117818,0.289023540590058,0.13729209734269932,0.08990643004794012
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_4,0.08105811250612982,0.2248760934493976,0.22371865881576125,0.016113904116406192,0.09164720498931545,0.23912713389875062,0.1488521407817457,0.00644337871631018
MAE 2025-12-06 02:07:01.415742 300_epoch99,MAE 2025-12-06 02:07:01.415742 300,99,Layer_5,0.13175302796455804,0.299197981356942,0.29812103144472313,0.05023465185161886,0.14869546916771287,0.31437040353703355,0.1942132421626675,0.02805808658554615
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_1,1.057200166987494,0.5826752820798426,0.2388137367977332,-0.007822701218979846,1.5905865063366724,0.5582843811674829,0.21269554031554466,-0.007729257390085973
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_2,0.8285511762767951,0.6237417664064681,0.4920526597350698,-0.0021820066765518846,0.9319574109985317,0.6035939048942125,0.4706547637358868,-0.0015674812805572228
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_3,0.7268351031422078,0.5546667767426903,0.2597511551662352,-0.01774614959163439,0.8664079076847974,0.5480351809564924,0.30499754782028354,-0.03866120013881875
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_4,0.6772349308718759,0.5483699326631795,0.26197805360800747,0.004103349705675912,0.6393882993977327,0.5098646704917336,0.2196178977478103,0.004613689114935312
MAPE 2025-12-01 09:05:57.362884 300_epoch49,MAPE 2025-12-01 09:05:57.362884 300,49,Layer_5,0.5538641975121477,0.5163595040890674,0.12195214080834252,0.006365456445285421,0.628067807567687,0.5185079912498726,0.11349449201014493,0.011840070071078169
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,Layer_1,0.10683476412082529,0.26368209581794394,0.2346184171346113,0.006157890254662479,0.180803603518677,0.33359215815011656,0.1224040795584294,0.0011172965466127193
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,Layer_2,0.024810394844774604,0.12279418557513616,0.08657979722380053,0.01104891665769817,0.06718994619696264,0.19868440544152133,0.048495987204065984,0.012047297696076365
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,Layer_3,0.10414913628385122,0.2638454499098608,0.22870266612745752,-0.04097894601018351,0.12922692067038985,0.2894114233377389,0.1546965593173416,-0.0185826511153526
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,Layer_4,0.08253924660489577,0.22686524623427118,0.1982265218746242,0.005170214278709081,0.0924711125963955,0.24002901127402337,0.14224028615856893,0.004163751750597405
MAPE 2025-12-01 09:05:57.362884 300_epoch99,MAPE 2025-12-01 09:05:57.362884 300,99,Layer_5,0.13253678213560857,0.2999889636992397,0.27709556411085356,0.013076477870995895,0.14159251289809854,0.30809706504518775,0.21256290632247377,0.020153017990162538
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,Layer_1,0.10480911674996153,0.2617415544455031,0.24791684887467721,-0.013375114624698679,0.20954003215839306,0.3581737659151603,0.14978913897702956,-0.02018480916266688
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,Layer_2,0.023402321076473963,0.11913670862795062,0.10202201606725184,0.0008945412193629745,0.06473912614231989,0.19557970400883268,0.034572112122041664,0.001810729081293088
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,Layer_3,0.1006378270188989,0.2593044789128446,0.24495845882588926,0.014554414078414457,0.12600699290742148,0.2865065651989025,0.15847609617649996,-0.007951866060822226
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,Layer_4,0.081475335585964,0.22554616223539245,0.2112483571702957,-0.0022696432128802243,0.10944752243174609,0.26015055784099583,0.1044932393204636,0.0022727265993538717
MAPE 2025-12-01 09:05:57.362884 300_epoch149,MAPE 2025-12-01 09:05:57.362884 300,149,Layer_5,0.13206745257231936,0.2996701816088453,0.2878103769047933,0.00046145275650412654,0.15681335779761096,0.32106963854603193,0.17586642777719952,0.019771332806858118
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_1,0.10444040242133303,0.26124170968709365,0.2546108033332124,-0.004853480446672506,0.16768785770148245,0.32300264848469656,0.08818531538685503,-0.0006472774238811004
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_2,0.0230005526237235,0.11812318168620026,0.11073161355641545,0.007417937677536615,0.06227975551212374,0.19344499799698592,0.03574714761237484,0.004486725419779194
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_3,0.10006880698090574,0.25854056886634297,0.25242408775502295,0.05199740832532641,0.12799564778262615,0.28673343815825253,0.12043630617139912,0.029585093959832408
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_4,0.08119350287156729,0.22505752509956298,0.2183442343769318,-0.005617197646235018,0.09523965524865176,0.24399681232692422,0.13209521802692228,0.010041687195230487
MAPE 2025-12-01 09:05:57.362884 300_epoch199,MAPE 2025-12-01 09:05:57.362884 300,199,Layer_5,0.13198088828049026,0.2995616127244667,0.29374841576156113,-0.015597092047364418,0.14872513007771612,0.3140368666648565,0.19318113788065838,0.021911569473591967
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_1,0.10442798898311625,0.2611189261186779,0.25461925747190417,-0.006060862733901247,0.17449208675827343,0.32624536752374605,0.12445856783078757,0.01727585039772925
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_2,0.023004444382787568,0.11818705580649909,0.11080720660558399,0.0030163556778081066,0.06130387155684342,0.18808810147988297,0.04577718573970093,0.011460853025848433
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_3,0.10065873373970895,0.2592852577777393,0.25213856833676557,-0.028631282994288198,0.12633907939657624,0.2882899147866499,0.12572131269384615,0.021953978504578205
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_4,0.08119966653068521,0.22505909675059807,0.21813402719998307,-0.007586697650600383,0.09231546829253374,0.24009937054075395,0.15150920050015873,0.0027978863178450804
MAPE 2025-12-01 09:05:57.362884 300_epoch249,MAPE 2025-12-01 09:05:57.362884 300,249,Layer_5,0.1319695689274501,0.2994895809159793,0.2937589158052053,-0.017632439968280317,0.15369717214431536,0.31892094135158955,0.19782223152445105,0.01056217816846031
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_1,0.1043719663113646,0.26108480918621774,0.2577181494546835,-0.013198356541702016,0.17522519233895467,0.32677884795487266,0.14440246025316597,-0.010643423454246622
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_2,0.022939797899779596,0.11797153781866548,0.11497269052727396,-0.002289499732467089,0.058227473704265835,0.18493867087097804,0.04888513473009884,0.009929731845406358
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_3,0.10031463693911094,0.2590365811335778,0.25588683144139573,0.0024494441296707063,0.11928440603952944,0.2798860180672987,0.1724726499055571,-0.024463227651114947
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_4,0.0810940211522758,0.2249368928291074,0.22158534746238054,-0.0005248191515188832,0.09041068473850898,0.23759363661903735,0.16032271678454676,-0.007654881987978158
MAPE 2025-12-01 09:05:57.362884 300_epoch299,MAPE 2025-12-01 09:05:57.362884 300,299,Layer_5,0.131803798250553,0.2992788290109227,0.2959787273335532,0.007020532607322878,0.1493409441827519,0.314718307575002,0.19451161759070906,0.0257808951336011
